case_number,suspect_name,vehicle_plate,date,year,primary_type,description,block,location_description,district,beat,ward,community_area,iucr,fbi_code,arrest,domestic
JC100113,Deandre Allen,IL-4258-DT,2026-06-04 09:27:00,2026,ROBBERY,ARMED: HANDGUN,0100XX W FULLERTON AVE,RESTAURANT,009,0914,15,61,031A,03,False,False
JC100226,Tyler Wilson,IL-2133-ZN,2026-01-20 10:31:00,2026,THEFT,OVER $500,4700XX S STATE ST,RESIDENCE,010,1013,24,29,0820,06,False,False
JC100339,Devon Wright,,2026-03-05 21:30:00,2026,ROBBERY,ARMED: HANDGUN,6800XX N BROADWAY,ALLEY,022,2213,19,72,031A,03,False,False
JC100452,Jerome Washington,,2026-07-22 20:23:00,2026,CRIMINAL DAMAGE,TO PROPERTY,5800XX W 47TH ST,RESIDENCE,004,0412,10,46,1310,14,False,False
JC100565,Brandon Allen,,2026-04-01 02:45:00,2026,THEFT,OVER $500,0900XX W CHICAGO AVE,PARKING LOT,002,0222,4,38,0820,06,False,False
JC100678,Darius Williams,,2026-03-24 18:36:00,2026,CRIMINAL DAMAGE,TO PROPERTY,6100XX W CHICAGO AVE,RESIDENCE,015,1531,29,25,1310,14,False,False
JC100791,Lamar Hernandez,,2026-01-22 20:41:00,2026,BATTERY,SIMPLE ASSAULT,5200XX N MILWAUKEE AVE,SIDEWALK,011,1124,28,26,0460,08B,True,True
JC100904,Derek Vance,,2026-05-15 07:55:00,2026,BATTERY,SIMPLE ASSAULT,7100XX W FULLERTON AVE,STREET,004,0412,10,46,0460,08B,False,False
JC101017,Marcus Thompson,,2026-03-14 15:30:00,2026,BURGLARY,FORCIBLE ENTRY,0800XX W ROOSEVELT RD,ALLEY,006,0623,6,69,0610,05,False,False
JC101130,Tyler Nguyen,,2026-07-23 23:50:00,2026,CRIMINAL DAMAGE,TO PROPERTY,2500XX W MADISON ST,RESIDENCE,010,1013,24,29,1310,14,False,True
JC101243,Brandon Hill,,2026-01-19 15:32:00,2026,ROBBERY,ARMED: HANDGUN,6600XX N MILWAUKEE AVE,APARTMENT,003,0313,20,42,031A,03,True,False
JC101356,Calvin Jackson,,2026-04-19 19:02:00,2026,BATTERY,SIMPLE ASSAULT,8500XX N PULASKI RD,COMMERCIAL BUILDING,020,2012,40,4,0460,08B,False,True
JC101469,Isaiah Flores,IL-7227-HQ,2026-04-09 12:08:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,4100XX W FULLERTON AVE,STREET,003,0313,20,42,1811,18,False,False
JC101582,Derek Moore,,2026-03-12 02:56:00,2026,BURGLARY,FORCIBLE ENTRY,3700XX S MICHIGAN AVE,DEPARTMENT STORE,006,0623,6,69,0610,05,False,False
JC101695,Elijah Garcia,,2026-01-22 17:19:00,2026,BATTERY,SIMPLE ASSAULT,3400XX W MADISON ST,SIDEWALK,004,0412,10,46,0460,08B,True,False
JC101808,Andre Sanchez,,2026-04-22 20:54:00,2026,NARCOTICS,POSS: CANNABIS 30G OR LESS,6300XX W 47TH ST,STREET,009,0914,15,61,1811,18,True,False
JC101921,Marcus Brown,,2026-03-21 08:10:00,2026,CRIMINAL DAMAGE,TO PROPERTY,9100XX N CICERO AVE,RESTAURANT,015,1531,29,25,1310,14,True,False
JC102034,Cedric Ortiz,IL-9830-GP,2026-01-27 11:37:00,2026,ROBBERY,ARMED: HANDGUN,1700XX N PULASKI RD,GAS STATION / CONVENIENCE STORE,002,0222,4,38,031A,03,False,False
JC102147,Corey Harris,,2026-03-08 05:51:00,2026,ROBBERY,ARMED: HANDGUN,0400XX N PULASKI RD,BAR OR TAVERN,006,0623,6,69,031A,03,False,False
JC102260,Isaiah Lee,IL-7201-CH,2026-05-06 22:06:00,2026,ASSAULT,AGGRAVATED: HANDGUN,6100XX N MILWAUKEE AVE,RESIDENCE,008,0815,13,65,051A,04A,False,False
JC102373,Brian White,,2026-07-11 08:55:00,2026,BATTERY,SIMPLE ASSAULT,3600XX S WABASH AVE,,012,1212,25,28,0460,08B,False,False
